Site type,SiteID,Purpose,Operational_Assessment,Original_Fasttrack,Data_Steward,O&M,Funding,ConfigID,Area,Model_Branch,branch num,PATH,SiteName,SiteTypeName,Interrogation Site Subbasin Code,SubBasin Name,RKM,RKMTotal,AntennaGroup,SiteDescription,Latitude,Longitude,Data Steward Name,Steward Email,Steward Phone,Steward Organization,Steelhead_TRT_POPID,Steelhead_POP_NAME,Steelhead_ESU_DPS,Steelhead_MPG,Chinook_TRT_POPID,Chinook_POP_NAME,Chinook_ESU_DPS,Chinook_MPG
INT,BTU,Adult/Juvenile,Yes,No,QCI,QCI/NPT,Unknown,110,lemhi,Lemhi River,25,GRA LLRB0 LLRA0 LRWB0 LRWA0 BTLB0 BTLA0 BTMB0 BTMA0 BTUB0 BTUA0,Big Timber Creek - Upper,Instream Remote Detection System,17060204,Lemhi,522.303.416.089.011,1341,Upstream Array,"This in-stream detection system on Big Timber Creek is located approximately 10.8 km upstream of the confluence with the Lemhi River and is comprised of two arrays.  Each array consists of two 10 ft antennas to span the width of the channel. BTM is operated by the Integrated Status and Effectiveness Monitoring Project (ISEMP) cooperators Idaho Fish and Game and Quantitative Consultants, Inc. This site is powered by a propane thermoelectric generator.  Remote communication is provided by a cellular telephone modem.",44.61386,-113.397036,Kevin Peterson,kpeterson@qcinc.org,(208) 275-0011,QCI,SRLEM-s,Lemhi River,Snake River Basin Steelhead DPS,Salmon River,SRLEM,Lemhi River,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River
INT,CAC,Adult/Juvenile,Yes,Yes,QCI,QCI/NPT,BPA,100,lemhi,Lemhi River,25,GRA LLRB0 LLRA0 LRWB0 LRWA0 CACB0 CACA0,Canyon Creek ISA @ km 1,Instream Remote Detection System,17060204,Lemhi,522.303.416.090.001,1332,UPSTREAM ANTENNA,"In-stream detection system consisting of a tandem array located in Canyon Creek. The array (CAC) located 1.0 km upstream of the confluence with the Lemhi River (N 44.6691970, W -113.354677) consists of two arrays , deployed serially 5 m apart, of one 5 ft PVC pipe pass-by antenna each. The Canyon Creek array site is located 45 meters downstream of the culvert on Old Idaho 28 road. CAC is operated by the Integrated Status and Effectiveness Project (ISEMP) cooperators Idaho Fish and Game and Quantitative Consultants, Inc. and was installed for continuous monitoring on November 12, 2010. Site electricity power comes from the adjacent electrical service lines and remote communication is provided by a cellular telephone modem.",44.69200586,-113.3547113,Kevin Peterson,kpeterson@qcinc.org,(208) 275-0011,QCI,SRLEM-s,Lemhi River,Snake River Basin Steelhead DPS,Salmon River,SRLEM,Lemhi River,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River
INT,COC,Adult Est.,Yes,Yes,QCI,QCI/NPT,BPA,100,Imnaha,Cow Creek,10,GRA COCB0 COCA0,Cow Creek ISA @ stream mouth,Instream Remote Detection System,17060102,Imnaha,522.308.006.001,837,UPSTREAM ANTENNA,"In-stream detection system consisting of a tandem array located in Cow Creek.  The array (COC) located at 0.5 km upstream of the confluence with the Imnaha River (N 45.76774, W 116.744037) consists of two arrays , deployed serially 10 m apart, of one 20 ft Biomark flat panel antenna each.  COC is operated by the Integrated Status and Effectiveness Project (ISEMP) cooperators Nez Perce Tribe and Quantitative Consultants, Inc. and was installed for continuous monitoring on January 12, 2011.",45.76774,-116.744037,Kevin Peterson,kpeterson@qcinc.org,(208) 275-0011,QCI,IRMAI-s,Imnaha River,Snake River Basin Steelhead DPS,Imnaha River,IRMAI,Imnaha River mainstem,Snake River Spring/Summer-run Chinook Salmon ESU,Grande Ronde / Imnaha
INT,CRC,Adult Est.,Yes,No,QCI,QCI/NPT,Unknown,100,Salmon,Carmen Creek,24,GRA CRCB0 CRCA0,"Carmen Creek, Salmon R. Basin",Instream Remote Detection System,17060203,Middle Salmon-Panther,522.303.408.001,1234,Upstream Array,"In-stream detection system consisting of a triple array located in Carmen Creek. The array (CRC) is located 0.68 km upstream of the confluence with the Salmon River and consists of 3 arrays, deployed serially at about 10 m apart. The upper and lower arrays are composed of three 5 ft PVC pipe pass-by antennas each while the middle array is comprised of two 10 foot and one 5 foot PVC pipe pass-by antennas. The Carmen Creek array site is located 0.16 km upstream of the culvert on Highway 93. CRC is operated by the Integrated Status and Effectiveness Project (ISEMP) cooperators Idaho Fish and Game and Quantitative Consultants, Inc. and was installed for continuous monitoring in October 2013. Site electricity comes from the adjacent electrical service lines and remote communication is provided by a cellular telephone modem.  Environmental conditions are monitored by air temperature, water temperature, and water depth sensors.",45.24648476,-113.8934662,Kevin Peterson,kpeterson@qcinc.org,(208) 275-0011,QCI,SRLEM-s,Lemhi River,Snake River Basin Steelhead DPS,Salmon River,,,,
INT,ESSA0,Adult/Juvenile,Yes,Yes,QCI,QCI/NPT,BPA,100,SFSR,SF Salmon,21,GRA SFG ESSB0 ESSA0,EFSF Salmon River at Parks Cr.,Instream Remote Detection System,17060208,South Fork Salmon,522.303.215.060.021,1121,UPPER IN-STREAM ARRAY,"This is an in-stream interrogation system consisting of two separate antenna arrays, 790 meters apart, on the East Fk South Fk Salmon River (rkm 21) near Parks Creek. The upstream and downstream arrays consist of four flat plate antennas each, spanning 24 meters across the low-water channel.",44.956205,-115.53315,Kevin Peterson,kpeterson@qcinc.org,(208) 275-0011,QCI,SFMAI-s,South Fork Salmon River,Snake River Basin Steelhead DPS,Salmon River,SFEFS,East Fork South Fork Salmon River,Snake River Spring/Summer-run Chinook Salmon ESU,South Fork Salmon River
INT,ESSB0,Adult/Juvenile,Yes,Yes,QCI,QCI/NPT,BPA,100,SFSR,SF Salmon,21,GRA SFG ESSB0 ESSA0,EFSF Salmon River at Parks Cr.,Instream Remote Detection System,17060208,South Fork Salmon,522.303.215.060.021,1121,UPPER IN-STREAM ARRAY,"This is an in-stream interrogation system consisting of two separate antenna arrays, 790 meters apart, on the East Fk South Fk Salmon River (rkm 21) near Parks Creek. The upstream and downstream arrays consist of four flat plate antennas each, spanning 24 meters across the low-water channel.",44.956205,-115.53315,Kevin Peterson,kpeterson@qcinc.org,(208) 275-0011,QCI,SFMAI-s,South Fork Salmon River,Snake River Basin Steelhead DPS,Salmon River,SFEFS,East Fork South Fork Salmon River,Snake River Spring/Summer-run Chinook Salmon ESU,South Fork Salmon River
INT,HEC,Adult/Juvenile,Yes,No,QCI,QCI/NPT,Unknown,100,Lemhi,Lemhi River,25,GRA LLRB0 LLRA0 LRWB0 LRWA0 HECB0 HECA0,Hawley Cr/18 Mile Cr Array,Instream Remote Detection System,17060204,Lemhi,522.303.416.092.004.001,1338,Hawley Upstream Array,"In-stream detection system consisting of one controller/datalogger and two triple arrays,one in Eighteen Mile Creek and one in Hawley Cr. The Hawley Creek array is located 5.75 km upstream of the confluence with Texas Creek and is comprised of 3 arrays deployed serially at about 10 m apart, of one 10 ft PVC pipe pass-by antenna each. The Eighteen Mile Creek array is located 100 m upstream of the confluence with Hawley Creek and is comprised of 3 arrays deployed serially at about 10 m apart, of one 5 ft PVC pipe pass-by antenna each.  HEC is operated by the Integrated Status and Effectiveness Project (ISEMP) cooperators Idaho Fish and Game and Quantitative Consultants, Inc. and was installed for continuous monitoring in October 2013. This site is powered by a 24 volt solar powered system and remote communication is provided by a cellular telephone modem.  Environmental conditions are monitored by air temperature, water temperature, and water depth sensors.. Site was decommissioned March 2017, last data recieved December 2015.",44.66859381,-113.3115502,Kevin Peterson,kpeterson@qcinc.org,(208) 275-0011,QCI,SRLEM-s,Lemhi River,Snake River Basin Steelhead DPS,Salmon River,SRLEM,Lemhi River,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River
INT,HYC,Adult/Juvenile,Yes,Yes,QCI,QCI/NPT,BPA,120,Lemhi,Lemhi River,25,GRA LLRB0 LLRA0 HYCB0 HYCA0,Hayden Creek In-stream Array,Instream Remote Detection System,17060204,Lemhi,522.303.416.049.001,1291,UPSTREAM ARRAY,"This is an instream interrogation system located on the lower section of Hayden Creek, in the Lemhi River Basin.  The system consists of two arrays, located serially 15 meters apart with the upstream array having two 10 foot and one 5 foot PVC Pipe antennas, and the lower array not changing from original installation and having one 20 foot and one 10 foot flat-plate antennas. At low flow, both arrays cover all of the stream channel. Water depth, water temperature, and air temperature probes are installed.",44.86171866,-113.6318754,Kevin Peterson,kpeterson@qcinc.org,(208) 275-0011,QCI,SRLEM-s,Lemhi River,Snake River Basin Steelhead DPS,Salmon River,SRLEM,Lemhi River,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River
INT,IR1,Adult/Juvenile,Yes,Yes,QCI,QCI/NPT,BPA,100,Imnaha,Imnaha,11,GRA IR1,Lower Imnaha River ISA @ km 7,Instream Remote Detection System,17060102,Imnaha,522.308.007,837,STREAM BANK LEFT,"In-stream detection system consisting of a single array located in the lower Imnaha River. The array (IR1) located at river km 7 (N 45.761162, W -116.750658) consists of four 20 foot Biomark flat panel antennas that span the entire river at base flow. IR1 is operated by the Integrated Status and Effectiveness Project (ISEMP) cooperators Nez Perce Tribe and Quantitative Consultants, Inc. and was installed for continuous monitoring on December 3, 2010. The array includes ISEMP standard site monitoring equipment including: air and water temperature probes, and a water pressure transducer to monitor stream level. Electrical power is provided by a solar/propane hybrid thermal electric generator and remote communication provided by a satellite modem.",45.76105242,-116.7502308,Kevin Peterson,kpeterson@qcinc.org,(208) 275-0011,QCI,IRMAI-s,Imnaha River,Snake River Basin Steelhead DPS,Imnaha River,IRMAI,Imnaha River mainstem,Snake River Spring/Summer-run Chinook Salmon ESU,Grande Ronde / Imnaha
INT,IR2,Adult/Juvenile,Yes,Yes,QCI,QCI/NPT,BPA,100,Imnaha,Imnaha,11,GRA IR1 IR2,Lower Imnaha River ISA @ km 10,Instream Remote Detection System,17060102,Imnaha,522.308.010,840,STREAM BANK LEFT,"In-stream detection system consisting of a single array located in the lower Imnaha River. The array (IR2) located at river km 10 (N 45.742839 W -116.764563) consists of one 10 foot and four 20 foot Biomark flat panel antennas that span the entire river at base flow. IR2 is operated by the Integrated Status and Effectiveness Project (ISEMP) cooperators Nez Perce Tribe and Quantitative Consultants, Inc. and was installed for continuous monitoring in November 2010. The array includes ISEMP standard site monitoring equipment including: air and water temperature probes, and a water pressure transducer to monitor stream level. Electrical power is provided by a solar/propane hybrid thermal electric generator and remote communication provided by a satellite modem.",45.74270235,-116.764304,Kevin Peterson,kpeterson@qcinc.org,(208) 275-0011,QCI,IRMAI-s,Imnaha River,Snake River Basin Steelhead DPS,Imnaha River,IRMAI,Imnaha River mainstem,Snake River Spring/Summer-run Chinook Salmon ESU,Grande Ronde / Imnaha
INT,IR3,Adult/Juvenile,Yes,Yes,QCI,QCI/NPT,BPA,100,Imnaha,Imnaha,11,GRA IR1 IR2 IR3B0 IR3A0,Upper Imnaha River ISA @ km 41,Instream Remote Detection System,17060102,Imnaha,522.308.041,871,UPSTREAM ARRAY,"In-stream detection system consisting of a tandem array located in the Upper Imnaha River.  The array (IR3) located at river km 41 (N 45.49004 W 116.80393) consists of two arrays , deployed serially 10 m apart, of three 20 ft Biomark flat panel antennas each. The upstream array spans all but 1.5 meters of the channel, starting from the right bank of channel.  The downstream array begins at the left bank and spans all but 4 meters of the channel.  IR3 is operated by the Integrated Status and Effectiveness Monitoring Project (ISEMP) cooperators Nez Perce Tribe and Quantitative Consultants, Inc. and was installed for continuous monitoring on February 15, 2011.",45.48995689,-116.8040963,Kevin Peterson,kpeterson@qcinc.org,(208) 275-0011,QCI,IRMAI-s,Imnaha River,Snake River Basin Steelhead DPS,Imnaha River,IRMAI,Imnaha River mainstem,Snake River Spring/Summer-run Chinook Salmon ESU,Grande Ronde / Imnaha
INT,JOC,Adult Est.,Yes,Yes,QCI,QCI/NPT,BPA,110,Grande Ronde,Joseph Creek,9,GRA JOCB0 JOCA0,Joseph Creek ISA @ km 3,Instream Remote Detection System,17060106,Lower Grande Ronde,522.271.007.003,803,Upstream Array,"In-stream detection system consisting of a tandem array located in Joseph Creek. The array (JOC) located at river km 3 (N 46.030016, W -117.016042) consists of two arrays , deployed serially 10 m apart, of three 20 ft Biomark flat panel antennas and two 20 ft Biomark flat panel antennas, respectively. JOC is operated by the Integrated Status and Effectiveness Project (ISEMP) cooperators Nez Perce Tribe and Quantitative Consultants, Inc. and was installed for continuous monitoring on October 15, 2010. The array includes ISEMP standard site monitoring equipment including air and water temperature probes, and a water pressure transducer to monitor stream level. Electrical power is provided by a thermal electric generator and remote communication provided by a satellite modem.",46.03023706,-117.016408,Kevin Peterson,kpeterson@qcinc.org,(208) 275-0011,QCI,GRJOS-s,Joseph Creek,Snake River Basin Steelhead DPS,Grande Ronde River,,,,
INT,KEN,Adult/Juvenile,Yes,Yes,QCI,QCI/NPT,BPA,110,lemhi,Lemhi River,25,GRA LLRB0 LLRA0 KENB0,Kenney Creek In-stream Arrays,Instream Remote Detection System,17060204,Lemhi,522.303.416.029.000,1270,Floating Antenna,The KEN site is located 0.2 km upstream from the mouth of Kenney Creek.  This site consists of two tandem 6-foot antennas located serially approximately 12 feet apart.,45.02703,-113.65801,Kevin Peterson,kpeterson@qcinc.org,(208) 275-0011,QCI,SRLEM-s,Lemhi River,Snake River Basin Steelhead DPS,Salmon River,SRLEM,Lemhi River,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River
INT,KRS,Adult/Juvenile,Yes,Yes,QCI,QCI/NPT,BPA,110,SFSR,SF Salmon,21,GRA SFG KRS,SF Salmon River at Krassel Cr.,Instream Remote Detection System,17060208,South Fork Salmon,522.303.215.065,1105,IN-RIVER PASS-OVER MUX ARRAY,This in-stream interrogation system is located near Krassel Creek at rkm 65 on the South Fork Salmon River.,44.97847155,-115.7269938,Kevin Peterson,kpeterson@qcinc.org,(208) 275-0011,QCI,SFMAI-s,South Fork Salmon River,Snake River Basin Steelhead DPS,Salmon River,SFSMA,South Fork Salmon River mainstem,Snake River Spring/Summer-run Chinook Salmon ESU,South Fork Salmon River
INT,LB8,Adult/Juvenile,Yes,No,QCI,QCI/NPT,Unknown,100,lemhi,Lemhi River,25,GRA LLRB0 LLRA0 LRWB0 LRWA0 LB8B0 LB8A0,Big Eightmile Creek,Instream Remote Detection System,17060204,Lemhi,522.303.416.073.001,1315,Upstream Array,"This in-stream detection system on Big Eightmile Creek is located approximately 0.5 km upstream of the confluence with the Lemhi River and is comprised of two arrays.  The upstream and downstream arrays each consist of one 10 ft antenna. The site is located 50 meters upstream of the bridge on Idaho state highway 28. LB8 is operated by the Integrated Status and Effectiveness Monitoring Project (ISEMP) cooperators Idaho Fish and Game and Quantitative Consultants, Inc. This site is powered by a battery bank, which is charged by solar panels.  Remote communication is provided by a cellular telephone modem.",44.738218,-113.462458,Kevin Peterson,kpeterson@qcinc.org,(208) 275-0011,QCI,SRLEM-s,Lemhi River,Snake River Basin Steelhead DPS,Salmon River,SRLEM,Lemhi River,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River
INT,LBS,Adult/Juvenile,Yes,No,QCI,QCI/NPT,Unknown,110,lemhi,Lemhi River,25,GRA LLRB0 LLRA0 LRWB0 LRWA0 LBSB0 LBSA0,Big Springs Creek,Instream Remote Detection System,17060204,Lemhi,522.303.416.077.001,1319,Upstream Antenna,"An in-stream detection system consisting of two antennas located on Big Springs Creek approximately 300 meters upstream from the confluence with the Lemhi River. LBS is operated by the Integrated Status and Effectiveness Monitoring Project (ISEMP) cooperators Idaho Fish and Game and Quantitative Consultants, Inc. and was installed in the spring of 2014.  The site is powered by batteries banks that are charged by solar panels next to the control box and communication is provided by a cellular telephone modem.  Environmental conditions are monitored by air temperature, water temperature, and water depth sensors. The initial configuration of consisting of three arrays of two antennas each was replaced in May 2017 with two 20 ft antennas deployed about 37 meters apart.",44.727349,-113.433214,Kevin Peterson,kpeterson@qcinc.org,(208) 275-0011,QCI,SRLEM-s,Lemhi River,Snake River Basin Steelhead DPS,Salmon River,SRLEM,Lemhi River,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River
INT,LC1,Adult Est.,Yes,Yes,QCI,QCI/NPT,BPA,100,Clearwater,Lolo Creek,12,GRA LC1,Lower Lolo Creek at rkm 21,Instream Remote Detection System,17060306,Clearwater,522.224.087.021,854,SINGLE ARRAY,"Instream detection system consisting of a single array located in the Lolo Creek, a tributary to the Clearwater River. The array (LC1) is located at river km 522.224.087.021 (N 46.294434 W -115.976119) and consists of four 20 foot Biomark flat panel antennas that span the entire river at base flow. LC1 is operated by the Integrated Status and Effectiveness Project (ISEMP) cooperators Nez Perce Tribe and Quantitative Consultants, Inc. and was installed for continuous monitoring in November 2011. The array includes ISEMP standard site monitoring equipment including: air and water temperature probes, and a water pressure transducer to monitor stream level. Electrical power is provided by an AC battery switcher and remote communication provided by a land line phone modem.",46.29436015,-115.9761598,Kevin Peterson,kpeterson@qcinc.org,(208) 275-0011,QCI,CRLOL-s,Lolo Creek,Snake River Basin Steelhead DPS,Clearwater River,CRLOL,Lolo Creek,Snake River Spring/Summer-run Chinook Salmon ESU,Wet Clearwater
INT,LC2,Adult Est.,Yes,Yes,QCI,QCI/NPT,BPA,100,Clearwater,Lolo Creek,12,GRA LC1 LC2,Upper Lolo Creek at rkm 25,Instream Remote Detection System,17060306,Clearwater,522.224.087.025,858,SINGLE ARRAY,"Instream detection system consisting of a single array located in the Lolo Creek, a tributary to the Clearwater River. The array (LC2) is located at river km 522.224.087.025 (N 46.290562 W -115.934153) and consists of four 20 foot Biomark flat panel antennas that span the entire river at base flow. LC2 is operated by the Integrated Status and Effectiveness Project (ISEMP) cooperators Nez Perce Tribe and Quantitative Consultants, Inc. and was installed for continuous monitoring in November 2011. The array includes ISEMP standard site monitoring equipment including: air and water temperature probes, and a water pressure transducer to monitor stream level. Electrical power is provided using a solar/propane hybrid thermal electric generator and remote communication provided by a satellite phone modem.",46.29049792,-115.9337471,Kevin Peterson,kpeterson@qcinc.org,(208) 275-0011,QCI,CRLOL-s,Lolo Creek,Snake River Basin Steelhead DPS,Clearwater River,CRLOL,Lolo Creek,Snake River Spring/Summer-run Chinook Salmon ESU,Wet Clearwater
INT,LCL,Adult/Juvenile,Yes,No,QCI,QCI/NPT,Unknown,110,lemhi,Lemhi River,25,GRA LLRB0 LLRA0 LRWB0 LRWA0 LCLB0 LCLA0,"Lee Creek, Lemhi R. Basin",Instream Remote Detection System,17060204,Lemhi,522.303.416.079.001,1321,Upstream Antenna,"In-stream detection system currently consisting of two antennas located in Lee Creek approximately 50 meters upstream of the confluence with the Lemhi River. The Lee Creek array site is located 140 m below the culvert on Highway 28. LCL is operated by the Integrated Status and Effectiveness Project (ISEMP) cooperators Idaho Fish and Game and Quantitative Consultants, Inc. and was installed for continuous monitoring in December 2013. This site is powered by a 24 volt solar powered system and remote communication is provided by a cellular telephone modem.  Environmental conditions are monitored by air temperature, water temperature, and water depth sensors. The initial site configuration consisting of three antennas deployed about 10 meters apart was replaced in October 2016 with two 10 ft antennas deployed about 20 meters apart.",44.74707422,-113.474641,Kevin Peterson,kpeterson@qcinc.org,(208) 275-0011,QCI,SRLEM-s,Lemhi River,Snake River Basin Steelhead DPS,Salmon River,SRLEM,Lemhi River,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River
INT,LLR,Adult/Juvenile,Yes,Yes,QCI,QCI/NPT,BPA,120,lemhi,Lemhi River,25,GRA LLRB0 LLRA0,Lower Lemhi River,Instream Remote Detection System,17060204,Lemhi,522.303.416.001,1242,UPSTREAM ARRAY,"This is an instream interrogation located on the lower Lemhi River in Salmon, ID. The site consists of two arrays, located serially 15 meters apart with each array having three 20 foot ABS Biomark antennas. At low flow, both arrays cover all but 1 m of the stream channel. Water depth, water temperature, and air temperature probes are installed.",45.17647509,-113.885278,Kevin Peterson,kpeterson@qcinc.org,(208) 275-0011,QCI,SRLEM-s,Lemhi River,Snake River Basin Steelhead DPS,Salmon River,SRLEM,Lemhi River,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River
INT,LLS,Adult/Juvenile,Yes,Yes,QCI,QCI/NPT,BPA,100,lemhi,Lemhi River,25,GRA LLRB0 LLRA0 LRWB0 LRWA0 LLSB0 LLSA0,Lemhi Little Springs Instream,Instream Remote Detection System,17060204,Lemhi,522.303.416.066.000,1307,UPSTREAM ANTENNA,"Instream detection system consisting of a tandem array located in Lemhi Little Springs.  The array (LLS) located 0.1 km upstream of the confluence with the Lemhi River (N 44.77865, W -113.54208) consists of two arrays , deployed serially 19 m apart, of one 5 ft PVC pipe pass-by antenna each.  LLS is operated by the Integrated Status and Effectiveness Project (ISEMP) cooperators Idaho Fish and Game and Quantitative Consultants, Inc. and was installed for continuous monitoring on June 14, 2011.  Site electricity power comes from a thermoelectric generator and remote communication is provided by a cellular telephone modem.",44.77865,-113.54208,Kevin Peterson,kpeterson@qcinc.org,(208) 275-0011,QCI,SRLEM-s,Lemhi River,Snake River Basin Steelhead DPS,Salmon River,SRLEM,Lemhi River,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River
INT,LRW,Adult/Juvenile,Yes,Yes,QCI,QCI/NPT,BPA,110,Lemhi,Lemhi River,25,GRA LLRB0 LLRA0 LRWB0 LRWA0,Lemhi River Weir,Instream Remote Detection System,17060204,Lemhi,522.303.416.050,1291,UPSTREAM ARRAY,"This is an in-stream interrogation system located on the Lemhi River above the mouth of Hayden Creek and below the IDFG weir. The site consists of two arrays, located serially 15 meters apart with the upstream array having four 10 foot PVC Pipe antennas and the lower array having the two original 20 foot flat-plate Biomark antennas. At low flow, the upper arrays covers the stream channel, the lower array covers all but 1 meter of the stream channel. Water depth, water temperature, and air temperature probes are installed.",44.86596003,-113.624721,Kevin Peterson,kpeterson@qcinc.org,(208) 275-0011,QCI,SRLEM-s,Lemhi River,Snake River Basin Steelhead DPS,Salmon River,SRLEM,Lemhi River,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River
INT,NFS,Adult Est.,No,No,QCI,QCI/NPT,Unknown,100,Upper Salmon,NF Salmon,23,GRA NFSB0 NFSA0,North Fork Salmon River,Instream Remote Detection System,17060203,Middle Salmon-Panther,522.303.381.001,1207,Upstream Array,The in-stream detection system on the North Fork Salmon River (NFSR) is located approximately 0.5 km above the confluence with the Salmon River and is comprised of two arrays. The upstream and downstream arrays each have four 10 ft antennas. NFS was installed by Quantitative Sampling Technologies and is maintained by the Idaho Department of Fish and Game. It was installed in November 2015 and is powered by a battery bank which is charged by grid power at a nearby residence. Remote communication is via satellite service.,45.408645,-113.992002,Kevin Peterson,kpeterson@qcinc.org,(208) 275-0011,QCI,SRNFS-s,North Fork Salmon River,Snake River Basin Steelhead DPS,Salmon River,SRNFS,North Fork Salmon River,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River
INT,SC1,Adult/Juvenile,Yes,Yes,QCI,QCI/NPT,BPA,100,Clearwater,SF Clearwater,13,GRA SC1,Lower SF Clearwater R at rkm 1,Instream Remote Detection System,17060305,South Fork Clearwater,522.224.120.001,867,INSTREAM ARRAY,"Instream detection system consisting of a tandem array located in the lower South Fork Clearwater River. The array (SC1) located at river km 0.9 (N 46.13685 W -115.98091) consists of a single array of six 20 ft Biomark flat panel antennas each. The array spans all but three meters of the channel during low flow conditions. SC1 is operated by the Integrated Status and Effectiveness Monitoring Project (ISEMP) cooperators Nez Perce Tribe and Quantitative Consultants, Inc. and was installed for continuous monitoring on August 19, 2011. The array includes ISEMP standard site monitoring equipment including: air and water temperature probes, and a water pressure transducer to monitor stream level. Electrical power is provided by grid power and remote communication provided by a cellular modem.",46.13702233,-115.981313,Kevin Peterson,kpeterson@qcinc.org,(208) 275-0011,QCI,CRSFC-s,South Fork Clearwater River,Snake River Basin Steelhead DPS,Clearwater River,SCUMA,Upper South Fork Clearwater,Snake River Spring/Summer-run Chinook Salmon ESU,Dry Clearwater
INT,SC2,Adult/Juvenile,Yes,Yes,QCI,QCI/NPT,BPA,100,Clearwater,SF Clearwater,13,GRA SC1 SC2B0,Lower SF Clearwater R at rkm 2,Instream Remote Detection System,17060305,South Fork Clearwater,522.224.120.002,868,INSTREAM ARRAY,"Instream detection system consisting of a tandem array located in the lower South Fork Clearwater River. The array (SC2) located at river km 2 (N 46.12749 W -115.97730) consists of a single array of six 20 ft Biomark flat panel antennas each. The array spans the channel during low flow conditions. SC2 is operated by the Integrated Status and Effectiveness Monitoring Project (ISEMP) cooperators Nez Perce Tribe and Quantitative Consultants, Inc. and was installed for continuous monitoring on September 19, 2011. The array includes ISEMP standard site monitoring equipment including: air and water temperature probes, and a water pressure transducer to monitor stream level. Electrical power is provided by grid power and remote communication provided by a cellular modem.",46.12720939,-115.9777602,Kevin Peterson,kpeterson@qcinc.org,(208) 275-0011,QCI,CRSFC-s,South Fork Clearwater River,Snake River Basin Steelhead DPS,Clearwater River,SCUMA,Upper South Fork Clearwater,Snake River Spring/Summer-run Chinook Salmon ESU,Dry Clearwater
INT,SFG,Adult Est.,Yes,Yes,QCI,QCI/NPT,BPA,100,SFSR,SF Salmon,21,GRA SFG,SF Salmon at Guard Station Br.,Instream Remote Detection System,17060208,South Fork Salmon,522.303.215.030,1070,IN-STREAM ARRAY,"This is an in-stream interrogation system located at rkm 30 near the lower South Fork Salmon River Guard Station on the South Fork Salmon River. It consists of six flat plate antennas, spanning 36 meters across the low-water channel.",45.17565897,-115.579712,Kevin Peterson,kpeterson@qcinc.org,(208) 275-0011,QCI,,,,,,,,
INT,TAY,Adult/Juvenile,Yes,Yes,QCI,QCI/NPT,BPA,110,MFSR,Big Creek,22,GRA TAYB0 TAYA0,Big Creek at Taylor Ranch,Instream Remote Detection System,17060206,Lower Middle Fork Salmon,522.303.319.029.011,1184,Upstream Array,"Site currently consists of a Biomark IS1001-Master Controller, 12 IS1001 readers, 12 20 ft antennas. The antennas are arranged in tandem with each array containing 6 antenna spanning 120 ft with a distance of 45 ft between the arrays.  Site has solar power, Hughes satellite modem and Campbell Scientific CS450L, CS107 environmental probes. From 2006 until October 2017, the site was located about 250 yards downstream of its current location, centered around the bridge at Taylor Ranch. It consisted of two FS1001M transcievers operating two arrays of six antennas each approximately 200 meters apart, spanning Big Creek above and below the bridge.",45.103532,-114.853817,Kevin Peterson,kpeterson@qcinc.org,(208) 275-0011,QCI,MFBIG-s,"Big, Camas, and Loon Creek",Snake River Basin Steelhead DPS,Salmon River,MFBIG,Big Creek,Snake River Spring/Summer-run Chinook Salmon ESU,Middle Fork Salmon River
INT,UGR,Adult/Juvenile,Yes,Yes,QCI,QCI/NPT,BPA,100,Grande Ronde,Upper Grande Ronde,19,GRA UGR,Upper Grande Ronde at rkm 155,Instream Remote Detection System,17060104,Upper Grande Ronde,522.271.155,948,SINGLE ARRAY,"In-stream detection system consisting of a single array located in the Grand Ronde River. The array (UGR) is located at river km 522.271.155 (45. 593338, -117.903124) and consists of six 20 foot Biomark flat panel antennas. The array spans the entire river at base flow. UGR is operated by the Integrated Status and Effectiveness Project (ISEMP) cooperators Nez Perce Tribe Fisheries and Quantitative Consultants, Inc. and was installed for continuous monitoring on October 18, 2012. The array includes ISEMP standard site monitoring equipment including: air and water temperature probes, and a water pressure transducer to monitor stream level. Electrical power is provided by a hybrid solar/ thermal electric generator. Remote communication is provided by a satellite phone modem. Data collection started on October 18, 2012.",45.59351967,-117.9033787,Kevin Peterson,kpeterson@qcinc.org,(208) 275-0011,QCI,GRUMA-s,Grande Ronde River upper mainstem,Snake River Basin Steelhead DPS,Grande Ronde River,,,,
